0004000000030500	ASSJ	スーパーストリートファイターIV 3D EDITION
0004000000135700	KF9F	BEYBLADE METAL FUSION MANGA vol.9
0004000000135800	KFTF	BEYBLADE METAL FUSION MANGA vol.10
0004000000135900	KFEF	BEYBLADE METAL FUSION MANGA vol.11
000400000013D900	KE7F	BLUE EXORCIST MANGA vol.7
000400000013DA00	KE8F	BLUE EXORCIST MANGA vol.8
000400000013E200	KMFF	MONSTER HUNTER FLASH MANGA vol.1
000400000013E300	KM2F	MONSTER HUNTER FLASH MANGA vol.2
000400000010DF00	JCJP	Squids Odyssey
000400000012F000	JVQJ	デデデ大王のデデデでデンZ
000400000012EF00	JVXJ	カービィファイターズZ
000400000012F900	BYGJ	妖怪ウォッチ2 元祖
000400000012F800	BYHJ	妖怪ウォッチ2 本家
000400000013E500	KM5F	MONSTER HUNTER FLASH MANGA vol.5
0004000000125400	JTVE	Toy Stunt Bike
0004000000139800	KVPE	Plain Video Poker
000400000013CC00	JKJE	SKYPEACE
000400000012FB00	BTAJ	ガンダムトライエイジSP
000400000012A800	BH2J	ほっぺちゃん みんなでおでかけ! ワクワクほっぺランド!!
00040000000FA700	AYLJ	Fate/kaleid liner <br>プリズマ☆イリヤ
000400000013A000	BPMJ	パックワールド2
000400000012F600	BTFJ	トーマスとあそんでおぼえる ことばとかずとABC
0004000000121D00	JFCJ	3D ファンタジーゾーンⅡダブル
000400000012A100	JT6J	超科学脱出ストーリー ～絶海の豪華客船～
000400000013E700	KM6F	MONSTER HUNTER FLASH MANGA vol.6
00040000000B2A00	TBSE	Castlevania III: Dracula's Curse™
0004000E00120700	BVGJ	更新データ Ver. 1.1 カードファイト!! ヴァンガード LOV
000400000013E000	KR4F	ROCK LEE MANGA vol.4
000400000013E100	KR5F	ROCK LEE MANGA vol.5
000400000013E400	KM3F	MONSTER HUNTER FLASH MANGA vol.3
000400000013E600	KM4F	MONSTER HUNTER FLASH MANGA vol.4
000400000013DB00	KE9F	BLUE EXORCIST MANGA vol.9
000400000013DC00	KETF	BLUE EXORCIST MANGA vol.10
000400000013DD00	KBEF	BLUE EXORCIST MANGA vol.11
000400000013DE00	KB2F	BLUE EXORCIST MANGA vol.12
000400000013DF00	KLDF	LBX LITTLE BATTLERS EXPERIENCE MANGA vol.3
000400000013F900	KGGE	Glory of Generals
0004000E000CD300	ACUE	AeternoBlade Update Ver. 1.0
000400000013E800	KCME	City Mysteries
0004000E0012F900	BYGJ	更新データ Ver. 2.1 妖怪ウォッチ2 元祖
0004000E0012F800	BYHJ	更新データ Ver. 2.1 妖怪ウォッチ2 本家
0004000000144C00	KD3J	がっき で あそぼ♪ たのしい どうよう③
0004000000128600	JGYE	BIKE RIDER DX2: GALAXY
0004000000118B00	BLNP	LEGO® Ninjago™: Nindroids™
0004000000124600	BLNX	LEGO® Ninjago™: Nindroids™
0004000000131A00	JAGJ	ピック･ア･ジュエル
0004000000128700	JEJJ	エクスケーブ ～異界の魔導師編～
000400000013C400	KG7J	プチノベル「神学の七月」
000400000013A100	KUGJ	どこぽんちょいす あやかし緋扇 Vol.2 7～12巻パック
000400000011A100	QBBP	Pokémon™ Trading Card Game
0004000000124500	BLNY	LEGO® Ninjago™: Nindroids™
0004000000124400	BLNZ	LEGO® Ninjago™: Nindroids™
00040000000FE500	JR3E	Rabi Laby 3
0004000000139200	KMPE	Me & My Pets 3D
00040000000CE500	TCXE	Bases Loaded™
0004000E00120800	BDZJ	更新データ Ver. 1.1 IslandDays
0004000E0010BC00	BTSJ	更新データ Ver. 2.0.0 牧場物語 つながる新天地
00040000000FA600	BS2J	ソニプロ
0004000000120600	BDBJ	ドラゴンボールヒーローズ アルティメットミッション2
0004000000144F00	KGFJ	マル合格! 介護福祉士試験 平成26年度版
0004000000145000	KMNJ	マル合格! ケアマネジャー試験 平成26年度版
0004000000136400	KEBJ	イルベロデリンジャ
000400000013D000	KTGJ	ドラゴンボールヒーローズ UM2 ゲームデータ引継ぎアプリ
0004000000137000	NC6K	친구모아 아파트 초대판
00040000000DC300	JAGP	Pick-A-Gem
0004000000139300	KSFE	Siesta Fiesta
000400000013EA00	KWSE	Comic Workshop
00040000000FBA00	AYEE	TRANSFORMERS: Rise of the Dark Spark
0004000000144200	ARKJ	鉄道にっぽん!路線たび 鹿島臨海鉄道編
000400000012AD00	BGDJ	ガイストクラッシャーゴッド
0004000E00102F00	BT7J	更新データ Ver. 1.2.0 太鼓の達人 どんとかつの時空大冒険
0004000000123E00	JXNE	Strike Force Foxx
0004000000125D00	JF7J	電波人間のRPG FREE!
00040000000C2300	JKTP	Family Kart 3D
000400000013BA00	KRDJ	@SIMPLE DLシリーズ Vol.31 THE 密室からの脱出 ～延長必至のカラオケ編～
0004000000132C00	KSFP	Siesta Fiesta
0004000000118C00	BLNE	LEGO® Ninjago™: Nindroids™ 
0004000000143D00	JFEP	2048
0004000000100700	AVSE	Professor Layton vs. Phoenix Wright: Ace Attorney
0004000000113200	AFLE	Fantasy Life™
000400000012EE00	BCUE	Scooby Doo & Looney Tunes Cartoon Universe: Adventure 
0004000000124F00	JHDE	101 Pony Pets 3D
0004000000127E00	JNFJ	アクセルナイツ2 フルスロットル
000400000013F200	KBGJ	ブキガミ
00040000000EF600	RCEP	Mega Man™ 3
00040000000EFC00	RCGP	Mega Man™ 5
000400000012E100	BTWP	Teenage Mutant Ninja Turtles™
00040000000D6C00	JAGE	Pick-A-Gem
0004000000147800	KFKJ	ブレイブリーデフォルト たっぷり無料で遊べる版
0004000000145200	JRJJ	オーノーオデッセイ ～地球からの脱出～
00040000000DB900	JZMJ	奪還指令魔女ダンジョン ～主の為ならやらねばなるまい～
0004000000145300	KC2J	魔神少女 -Chronicle 2D ACT-
0004000000139D00	KGSJ	マル合格! 行政書士試験 平成26年度版
0004000000143300	BMAK	뉴 슈퍼 마리오브라더스 2 골드 에디션
0004000000140D00	BM4P	Meine Tierstation im Outback 3D
0004000000099200	TA3E	Blaster Master
00040000000EF300	RCDP	Mega Man™ 2
00040000000FCA00	BTHP	THEATRHYTHM Final Fantasy Curtain Call™
0004000000148800	SSEE	Meat or Die: Season One
0004000000137E00	BMAE	New Super Mario Bros. 2:  Gold Edition
0004000000146800	KTAE	Tangram Attack
000400000013CD00	JPUE	Steel Empire
00040000000E9400	JCUJ	Castle Clout 3D 攻城戦線キャッスルクラウト
0004000000144900	JQ7J	CUBIT ワンボタン ランニング アクション
000400000012B500	JVRJ	@SIMPLE DLシリーズ Vol.32 THE バトルロボ ～大共闘スクランブル～
000400000012A400	JWEJ	メゾン･ド･魔王
00040000000FCC00	JR3P	Rabi Laby 3
0004000000128A00	JT7J	3D サンダーブレード
000400000014BC00	KBFJ	どこぽんちょいす ブラッドラッド Vol.1 1～5巻+おまけパック
000400000014B800	KP2J	どこぽんちょいす Fate/kaleid liner プリズマ☆イリヤ 1～2巻
000400000014BB00	KRSJ	どこぽんちょいす らき☆すた Vol.1 1～6巻+おまけパック
000400000014B900	KRYJ	どこぽんちょいす ケロロ軍曹 Vol.1 1～5巻パック
000400000014BD00	KV7J	どこぽんちょいす スーパーマリオくん Vol.2 11～20巻パック
000400000014BE00	KW7J	どこぽんちょいす スーパーマリオくん Vol.3 21～30巻パック
000400000014BF00	KX7J	どこぽんちょいす スーパーマリオくん Vol.4 31～40巻パック
000400000012A700	JV7J	蒼き雷霆 ガンヴォルト
00040000000EF900	RCFP	Mega Man™ 4
00040000000B1700	AFZP	Phonics Fun with Biff, Chip & Kipper vol. 1
00040000000B1800	AX2P	Phonics Fun with Biff, Chip & Kipper vol. 2
00040000000B1900	AX3P	Phonics Fun with Biff, Chip & Kipper vol. 3
00040000000F0300	QA4P	Xtreme Sports
0004000E000CBA00	AL8K	업데이트 데이터 Ver. 1.1  닌텐도 3DS 가이드 루브르 박물관
00040000000D3200	TCZE	The Mysterious Murasame Castle
0004000E000CB700	AL8J	更新データ Ver. 1.1 ニンテンドー3DSガイド ルーヴル美術館
0004000E0012A800	BH2J	更新データ Ver. 1.2 ほっぺちゃん みんなでおでかけ! ワクワクほっぺランド!!
0004000000113300	BMKJ	メダロット8 カブトVer.
0004000000113400	BMQJ	メダロット8 クワガタVer.
0004000000121F00	JGAJ	神創世界グリンシア
0004000E0009FE00	JEQJ	更新データ Ver. 1.1 もっと気軽に!お絵描き工房プラス
0004000000146F00	KMGJ	マイティガンヴォルト
000400000011C400	ECRA	Pokémon™ Omega Ruby
000400000011C500	ECLA	Pokémon™ Alpha Sapphire
0004000000127A00	AKXJ	ぼくは航空管制官 エアポートヒーロー3D 関空 SKY STORY
000400000012D400	BNTE	Teenage Mutant Ninja Turtles™
0004000000143200	BWTJ	アンパンマンとタッチでわくわくトレーニング
0004000000140500	KDSJ	脱出アドベンチャー 終焉の黒い霧
0004000000144100	BREJ	謎解きバトルTORE! 伝説の魔宮を復活させよ!
0004000E000CB900	AL8P	Nintendo 3DS™ Guide: Louvre (English Version) Update Ver. 1.1
0004000E000D5600	AL8F	Nintendo 3DS™ Guide: Louvre (French Version) Update Ver. 1.1
0004000E000D5900	AL8S	Nintendo 3DS™ Guide: Louvre (Spanish Version) Update Ver. 1.1
0004000E000D5700	AL8D	Nintendo 3DS™ Guide: Louvre (German Version) Update
0004000E000D5800	AL8I	Nintendo 3DS™ Guide: Louvre (Italian Version) Update
0004000E0006CF00	AJ6P	Jewel Quest The Sapphire Dragon - Update
000400000013E900	KGME	Gothic Masquerade
0004000E00125D00	JF7J	更新データ Ver. 1.7 電波人間のRPG FREE!
000400000013C500	KFAJ	プチノベル「祝祭の八月」
00040000000EE000	AXCP	Super Smash Bros.™ for Nintendo 3DS
000400000014C800	JV7E	Azure Striker GUNVOLT
000400000014CD00	KMGE	MIGHTY GUNVOLT
000400000012D600	BC5E	Cooking Mama 5: Bon Appétit!
000400000010F800	JB2E	BLAZBLUE -CLONEPHANTASMA-
00040000000D4B00	AMQP	Disney Magical World
0004000000134900	KDKE	Demon King Box
00040000000FD500	BTHE	THEATRHYTHM FINAL FANTASY CURTAIN CALL
000400000011E600	JMTJ	アクアモーターレーシング3D
0004000000113100	AFLP	Fantasy Life™
00040000000F0200	QA4E	Xtreme Sports
0004000000123F00	JTZE	Thorium Wars: Attack of the Skyfighter
0004000000147E00	JVXE	Kirby Fighters Deluxe™
0004000000147A00	JVQE	Dedede’s Drum Dash Deluxe
000400000011D700	BFGJ	モンスターハンター4G
0004000000140E00	BHQJ	ハイキュー!! 繋げ!頂の景色!!
0004000000110900	AG8J	Gardenscapes つくろう!大庭園
000400000013BE00	BS9P	Skylanders Trap Team™
0004000000126800	JCPJ	ハコボーイ!
000400000011B000	TD6P	S.C.A.T.™
0004000000117800	JXRP	European Conqueror 3D
0004000000143A00	KPVE	Outback Pet Rescue 3D
0004000E000FB100	BNUJ	更新データ Ver. 1.3 閃乱カグラ2 -真紅-
0004000E00120600	BDBJ	更新データ Ver. 1.3 ドラゴンボールヒーローズ アルティメットミッション2
0004000000118500	AXFJ	公益財団法人 日本漢字能力検定協会 漢検トレーニング
0004000E000CF900	BPCJ	更新データ Ver. 1.1 ポケモンアートアカデミー
00040000000CF300	JCMJ	カスタムモンスターズ
000400000013D100	KXNJ	ドラゴンクエストⅩ オンライン
0004000000150300	KSXJ	ドラゴンクエストⅩ オンライン
0004000000140F00	KBPJ	ドラゴンクエストⅩ 冒険者のおでかけ超便利ツール
0004000000141D00	KXSJ	大合奏!バンドブラザーズP デビュー
00040000000B8B00	AXCJ	大乱闘スマッシュブラザーズ for Nintendo 3DS
0004000000120900	BKKJ	禁忌のマグナ
0004000E00132C00	KSFP	Siesta Fiesta - Update
0004000000148400	JWMP	Comic Workshop
00040000000F0400	QAZP	Mega Man™ Xtreme
00040000000D0A00	BPCE	Pokémon™ Art Academy™
000400000014B400	JK9J	ちっちゃなげ～む Vol.1 ナイトとドラゴンのヒマつぶし
0004000000139C00	KRPJ	みんなで まもって騎士 姫のトキメキらぷそでぃ
000400000014AF00	JFEJ	2048
0004000000146E00	JTLJ	タートルテイル 亀島奪回
0004000000141A00	BFGZ	MONSTER HUNTER 4G(日文版)
0004000000137300	KTPE	Tappingo 2
0004000E0011C500	ECLA	Pokémon™ Alpha Sapphire Update Ver. 1.4
0004000E0011C400	ECRA	Pokémon™ Omega Ruby Update Ver. 1.4
000400000013F600	KGGP	GLORY OF GENERALS
00040000000F0100	QA2P	Mega Man™ Xtreme 2
00040000000FF300	TDWE	Street Fighter 2010: The Final Fight
0004000E00139300	KSFE	Siesta Fiesta Update Ver. 1.0
0004000000148100	JVXZ	Kirby Fighters Deluxe™(英文版)
0004000000147D00	JVQZ	Dedede's Drum Dash Deluxe(英文版)
000400000012F500	ATUJ	テイルズ オブ ザ ワールド レーヴ ユナイティア
0004000000115500	BZRJ	マジンボーン 時間と空間の魔神
0004000000115A00	JK5J	コンビニドリーム
000400000012B200	JFWJ	名画と楽しむ大人の間違い探し
0004000000145100	JT8J	タングラム×タングラム ～誰もがハマるシルエットパズル～
000400000012DA00	JWPP	The Keep
0004000000124000	JWPE	The Keep
0004000000148700	BT2E	Top Model 3D
000400000014C200	NXCE	Super Smash Bros.™ for Nintendo 3DS™ Special Demo
000400000012FE00	BSLJ	おさわり探偵 小沢里奈 なめこリズム
000400000014C300	NXCP	Super Smash Bros.™: Special Demo Version
000400000013EB00	KFVE	Hideaways: Foggy Valley
0004000E000B8B00	AXCJ	更新データ Ver. 1.0.7 大乱闘スマッシュブラザーズ for Nintendo 3DS
0004000E0012B700	JVGJ	更新データ Ver. 1.0.3 ぐんまのやぼう for ニンテンドー3DS
0004000000109200	BHHP	Hello Kitty Happy Happy Family
000400000012AF00	BTKP	Tenkai Knights™: Brave Battle
000400000012F400	BGRP	Violetta: Rhythm and Music
0004000000145600	KSPJ	プチノベル「子宮の九月」
0004000000143100	JA9J	トレジャーレイダー ピラミッドから脱出!
000400000014BA00	KPFJ	ピンチ50連発!!
000400000014B200	JWJJ	ワールドパーキングプロ
0004000000008200	HMMJ	テーマ
0004000000008F00	HMME	Theme
0004000000009800	HMMP	Theme
000400000014CB00	KHVE	Horse Vet 3D
000400000013C700	BFTE	FIFA 15
0004000000110500	QA9E	Legend of the River King™ 2
000400000013EC00	KSEE	Secret Empires of the Ancient World
0004000E00129D00	JFNJ	更新データ Ver. 1.1 不思議の国の冒険酒場
000400000013CA00	BFTP	FIFA 15
000400000013CB00	BFTD	FIFA 15
0004000E000D0900	BPCP	Pokémon™ Art Academy™: Update
000400000014F700	KDKP	Demon King Box
0004000E00147800	KFKJ	更新データ Ver. 1.1.0 ブレイブリー デフォルト たっぷり無料で遊べる版
0004000E00121B00	JPYJ	更新データ Ver. 1.1 マル合格! ITパスポート試験 平成26年度版
000400000010FF00	QA6P	Game & Watch™ Gallery 3
0004000E000EDF00	AXCE	Super Smash Bros.™ for Nintendo 3DS Update Ver. 1.0.7
0004000000149900	JRWP	KORG DSN-12
0004000000144300	BNKJ	ヒーローバンク2
000400000012A000	JT5J	タッチバトル忍者
0004000000148000	JVXK	커비 파이터즈! Z
0004000000149700	JEQP	Painting Workshop
0004000E000EE000	AXCP	Super Smash Bros.™ for Nintendo 3DS: Update
0004000000118300	BFDJ	世界樹と不思議のダンジョン
000400000014FA00	BS8J	クッキングママ :わたしのスイーツショップ
00040000000FF400	TDWP	Street Fighter 2010: The Final Fight
0004000000136100	AYXE	Yu-Gi-Oh! ZEXAL World Duel Carnival
0004000000147C00	JVQK	대왕 디디디로 쿵쿵 Z
0004000000147600	BPMZ	PAC-MAN and the Ghostly Adventures 2
000400000012CE00	BDKE	Duck Dynasty® 
0004000E00113300	BMKJ	更新データ Ver. 1.1 メダロット8 カブトVer.
0004000E00113400	BMQJ	更新データ Ver. 1.1 メダロット8 クワガタVer.
0004000000132100	BFRP	Ultimate NES™ Remix
0004000E00119A00	JK8E	Shovel Knight Update Ver. 1.1
0004000E00118500	AXFJ	更新データ Ver. 1.1 漢検トレーニング
0004000000152E00	JKVJ	カンフーラビット
000400000010FB00	TD3P	Adventures of Lolo™
0004000000050200	RA3P	Donkey Kong™ Land
000400000012DF00	BSSP	Power Rangers Super Megaforce
0004000000148200	BT2P	Supermodel 3D
0004000000136F00	BSHP	Survivor - Heroes
000400000013BC00	BWCP	Winx Cub: Saving Alfea
000400000014A500	BP9P	Horse Vet 3D
0004000000148A00	ARSP	Riding Star 3D - Champion im Sattel
000400000014A300	NAHA	Pokémon Omega Ruby and Alpha Sapphire Special Demo
0004000000144D00	KGAJ	Oh!ガッチマン デンゲキ BAZOOKA!! スペシャルゲーム
000400000013FC00	KFRJ	フェアルーン
0004000E0011D700	BFGJ	更新データ Ver. 1.2 モンスターハンター4G
0004000000154100	AFJJ	LEGO®ムービー ザ･ゲーム
0004000000120A00	AVNJ	ディスク･ウォーズ:アベンジャーズ アルティメットヒーローズ
000400000014AA00	BEDJ	鉄道にっぽん!路線たび 叡山電車編
0004000000130300	JVWJ	拡散性ミリオンアーサー
0004000000118200	BAMJ	エルミナージュ異聞 アメノミハシラ･怪
0004000000127D00	BTKE	Tenkai Knights™ Brave Battle
0004000000131200	BS9E	Skylanders Trap Team™
0004000000153400	KXXJ	クラブニンテンドーピクロス+
000400000013D500	BMHP	I Love My Horse 
000400000013D600	BLGP	I Love My Little Girl
000400000013D700	BLBP	I Love My Little Boy
0004000000133000	BSQZ	Safari Quest
00040000000F8700	TDMP	Mighty Final Fight
0004000000135A00	BPMP	PAC-MAN and the Ghostly Adventures 2
000400000014E100	SPLW	3D體驗影像2
0004000000120500	BM9J	新･世界樹の迷宮2 ファフニールの騎士
0004000000110600	QA9P	Legend of the River King™ 2
000400000014A000	BHFP	My Life on a Farm 3D
0004000000143F00	JBSP	ARC STYLE: Baseball 3D
000400000011A700	RCKP	Donkey Kong Land™ III
00040000000F8A00	TDNP	Gargoyle's Quest II: The Demon Darkness
000400000013BD00	BPRP	Disney© Planes: Fire & Rescue
0004000000135E00	BMUP	Teenage Mutant Ninja Turtles™ Danger of the Ooze
000400000011D600	BPSP	PIKMIN Short Movies 3D
0004000000132400	BTLP	Tetris® Ultimate
0004000000143900	KCWP	Christmas Wonderland 4
0004000000132200	JULP	Football Up Online
000400000011A400	RCJP	Donkey Kong Land™ 2
000400000013EE00	KWDE	Woah Dave!
0004000000149000	ARSE	Riding Star 3D
000400000013D200	JNNE	Ninja Battle Heroes
0004000000135F00	BPME	PAC-MAN™ and the Ghostly Adventures 2
0004000000125200	BPFE	Poptropica®: Forgotten Islands 
0004000000145C00	AQQK	페르소나 Q 섀도우 오브 더 래버린스
000400000014EE00	KC2E	The Legend of Dark Witch
0004000000143400	BMAW	New 超級瑪利歐兄弟 2 黃金版(中文版)
0004000000145700	KHDJ	プチノベル「破談の十月」
0004000E0014BA00	KPFJ	更新データ Ver. 1.1.1 ピンチ50連発!!
000400000010A300	JZ2P	My Style Studio: Hair Salon
000400000013FE00	KDGJ	王国の道具屋さん
0004000000152D00	AB7J	小悪魔ココトの宇宙人くずし
0004000000144E00	KRMJ	@SIMPLE DLシリーズ Vol.33 THE 熱血!炎のラーメン屋
0004000000077B00	APOE	Petz® Countryside
0004000000077C00	APIE	Petz® Beach
0004000000126E00	JYHE	Pyramids 2
0004000000110000	QA7E	Harvest Moon® 2 GBC
0004000000155800	KXTA	★CTRNKXTA★ ★ソフト本体★
0004000E00155800	KXTA	★CTRUKXTA★ ★更新データ★
0004000000144700	BFPJ	藤子･F･不二雄キャラクターズ 大集合! SFドタバタパーティー!!
000400000014AE00	BSYJ	ソニックトゥーン アイランドアドベンチャー
0004000000140900	BSNJ	瞬足 めざせ! 全国最強ランナー
0004000000144400	BG3J	ワンピース 超グランドバトル!X
000400000012C200	BSYP	Sonic Boom™: Shattered Crystal
0004000000151F00	BPCZ	Pokémon Art Academy(英文版)
0004000000147300	JBTP	Crazy Construction
0004000000159400	SPDE	3D Visual Experience
0004000E0012F500	ATUJ	更新データ Ver. 1.1 テイルズ オブ ザ ワールド レーヴ ユナイティア
000400000014B300	JYSJ	Aiレース:X
0004000000152F00	KP9J	ピンポントリックショット
0004000000131D00	BMUE	Teenage Mutant Ninja Turtles: Danger of the Ooze
0004000E00127A00	AKXJ	更新データ Ver. 1.1 ぼくは航空管制官 エアポートヒーロー3D 関空 SKY STORY
0004000000156000	KBLJ	超人ウルトラベースボール アクションカードバトル ライトバージョン
0004000000156B00	KNKJ	ぬいぐるみのケーキ屋さん ミニ 魔法のパティシエール
0004000000156C00	KMUJ	昆虫モンスター ライト スーパーバトル
0004000000141C00	AMXP	Shin Megami Tensei IV
000400000012E000	JZPP	Zombie Panic in Wonderland DX
00040000000C2900	JSAE	Shantae and the Pirate's Curse
0004000000149E00	JRWE	KORG DSN-12
000400000012CF00	BSSE	Saban's Power Rangers Super Megaforce
000400000013ED00	KSJE	Secret Journeys: Cities of the World
000400000012CB00	JK8P	Shovel Knight
0004000000147400	JZGP	Undead Bowling
0004000000134A00	BLDE	The Legend of Korra™ A New Era Begins
0004000000146A00	KCXE	Castle Conqueror EX
0004000E000C9B00	JTTA	Pokémon Bank Update Ver. 1.2
0004000000137100	BH6E	Big Hero 6 Battle in the Bay
000400000014AB00	BM8J	まほコレ～魔法☆あいどるコレクション～
000400000012FA00	BJWJ	ドーリィ♪カノン ドキドキ♪トキメキ♪ ヒミツの音楽活動スタートでぇ～す!!
0004000000121200	JUXJ	公益財団法人 日本漢字能力検定協会 漢検トレーニング 1級 準1級 2級
0004000000152A00	BCNJ	すみっコぐらし ここがおちつくんです
0004000000140400	KAMJ	ぐるたん 大人の英単語
000400000014FD00	KS8J	マル合格! 社会福祉士試験 平成26年度版
0004000000136900	KSHJ	ぐるたん 中学英単語
0004000000136800	KSKJ	ぐるたん 高校英単語
0004000000121600	JU5J	公益財団法人 日本漢字能力検定協会 漢検トレーニング 5級
0004000000134400	BDEJ	ドラえいご のび太と妖精のふしぎコレクション
000400000012FF00	BLTJ	ご当地鉄道 ～ご当地キャラと日本全国の旅～
0004000000121500	JU4J	公益財団法人 日本漢字能力検定協会 漢検トレーニング 4級
0004000000121800	JU7J	公益財団法人 日本漢字能力検定協会 漢検トレーニング 7級
0004000000121900	JU8J	公益財団法人 日本漢字能力検定協会 漢検トレーニング 8級
0004000000121A00	JU9J	公益財団法人 日本漢字能力検定協会 漢検トレーニング 9級 10級
0004000000121400	JUVJ	公益財団法人 日本漢字能力検定協会 漢検トレーニング 3級
0004000000121300	JUBJ	公益財団法人 日本漢字能力検定協会 漢検トレーニング 準2級
0004000000121700	JU6J	公益財団法人 日本漢字能力検定協会 漢検トレーニング 6級
0004000000151400	KN5F	NISEKOI MANGA vol.5
0004000000151500	KN6F	NISEKOI MANGA vol.6
0004000000150F00	KNMF	NISEKOI MANGA vol.4
000400000014D200	KPQP	PICROSS e5
000400000014E000	BA3J	アイカツ!365日のアイドルデイズ
0004000000134500	BG2J	進撃の巨人～人類最後の翼～CHAIN
0004000E00130C00	ABLK	업데이트 데이터 Ver. 1.1 블레이 블루 컨티뉴엄 시프트 2
0004000000151900	KLEF	LBX LITTLE BATTLERS EXPERIENCE MANGA vol.4
0004000000151600	KR6F	ROCK LEE MANGA vol.6
0004000000123400	AQQE	Persona Q: Shadow of the Labyrinth
0004000000127500	BSYE	Sonic Boom: Shattered Crystal
00040000000F5600	JZPE	Zombie Panic in Wonderland DX
00040000000F8900	TDNE	Gargoyle's Quest™ II: The Demon Darkness
0004000E00120900	BKKJ	更新データ Ver. 2.0.0 禁忌のマグナ
000400000010F600	AVME	Harvest Moon®: The Lost Valley
000400000012A200	JTJJ	あしあとリバーシ くまモンバージョン
000400000015BD00	JV7K	Azure Striker GUNVOLT
0004000E000DF800	BGAJ	更新データ Ver. 1.2 進撃の巨人～人類最後の翼～
000400000014A900	BSAJ	そろばん･あんざん･フラッシュ暗算 完全版
0004000000144B00	KYPJ	Ultimate Poker & BlackJack
0004000000119D00	QBAE	Pokémon™ Puzzle Challenge
0004000E00130300	JVWJ	更新データ Ver. 2.0.1 拡散性ミリオンアーサー
000400000011DD00	BTME	LEGO® Batman™ 3: Beyond Gotham
000400000014DF00	BC4J	戦国無双 Chronicle 3
0004000000156A00	KVEJ	シカクいアタマをマルくする。 ジュニア こくご･さんすう･しゃかい･りか･せいかつ
0004000000156300	KVBJ	シカクいアタマをマルくする。 マスター 国語･算数･社会･理科
0004000000156500	KVDJ	シカクいアタマをマルくする。 エキスパート 漢字･計算･図形
000400000015BE00	KMGZ	MIGHTY GUNVOLT
00040000000A8400	JCDE	Castle Conqueror Defender
0004000000139100	JMXE	Kemonomix+
000400000014EF00	BKYE	Hello Kitty and Sanrio Friends 3D Racing
000400000014D500	BSQE	Safari Quest
000400000012A900	BTMZ	LEGO® BATMAN™ 3: Jenseits von Gotham
0004000000140100	BTMV	LEGO® BATMAN™ 3: Jenseits von Gotham
000400000012AB00	BTMX	LEGO® Batman™ 3: Más Allá de Gotham
000400000011C200	BTMP	LEGO® Batman™ 3: BEYOND GOTHAM
000400000012AA00	BTMY	LEGO® Batman™ 3: Au-delà de Gotham
0004000000137400	BPRE	Planes Fire & Rescue
000400000012EC00	BTLE	Tetris® Ultimate
0004000E00144400	BG3J	更新データ Ver. 1.4 ワンピース 超グランドバトル!X
000400000011D500	BPSE	Pikmin™ Short Movies 3D
0004000000132900	BHDZ	逆轉裁判123 / Phoenix Wright: Ace Attorney Trilogy(日英版)
000400000011A900	QBDP	Bionic Commando™: Elite Forces
0004000000143800	KVAP	Vacation Adventures: Park Ranger 2
0004000000132000	BFRE	Ultimate NES™ Remix
000400000014F600	BMNP	Asterix Die Trabantenstadt
0004000000137C00	AVTP	Adventure Time: The Secret of the Nameless Kingdom
0004000000157100	JHDP	101 Pony Pets 3D
000400000011AB00	QBEP	Lufia®: The Legend Returns
0004000000149300	BWRP	WRC FIA World Rally Championship The Official Game
0004000000119E00	QBAP	Pokémon™ Puzzle Challenge
0004000000148600	KRNE	I've Got to Run: Complete Edition!
0004000000149800	KPQE	PICROSS e5
0004000E0013FE00	KDGJ	更新データ Ver. 1.0.2 王国の道具屋さん
000400000015A600	KC2W	魔神少女 -Chronicle 2D ACT-(繁體中文版)
000400000013D800	KSGE	Scarygirl Illustration Kit
0004000000137500	BWCE	Winx Club Saving Alfea
000400000011A000	QBBE	Pokémon™ Trading Card Game
000400000014FE00	KDTJ	@SIMPLE DLシリーズ Vol.34 THE 密室からの脱出 ～ふしぎ発見!博物館編～
0004000000117200	JPKJ	プチコン3号 SmileBASIC
0004000000145800	JNVJ	プチノベル「別離の十一月」
0004000000153300	KCEJ	FINAL FANTASY EXPLORERS Light
00040000000F9B00	BDSJ	ダービースタリオンGOLD
0004000000130000	JCJJ	SQUIDS-ひっぱりイカの大冒険-
0004000000154000	BFKJ	セガ3D復刻アーカイブス
0004000000155100	BYSJ	妖怪ウォッチ2 真打
0004000000157700	KLUJ	マル合格! FP3級 平成26-27年度版
0004000000157800	KLVJ	マル合格! FP2級 平成26-27年度版
0004000000125600	AJRP	The Legend of Zelda™: Majora's Mask 3D
000400000013CE00	KVAE	Vacation Adventures: Park Ranger 2
0004000000125500	AJRE	The Legend of Zelda™: Majora’s Mask 3D
0004000000126D00	AVTE	Adventure Time: The Secret of the Nameless Kingdom
0004000000155E00	BGMK	가드닝마마: 마마와 숲 속 친구들
000400000015D600	SPNJ	12月20日(土)全国ロードショー ディズニー映画「ベイマックス」予告
0004000E0012FA00	BJWJ	更新データ Ver. 1.2 ドーリィ♪カノン
000400000015F900	KM9J	★マイティガンヴォルト★
0004000000149F00	AQQP	Persona Q: Shadow of the Labyrinth
0004000000155500	KCXP	Castle Conqueror EX
0004000000146300	BPGP	The Penguins of Madagascar 
0004000E0012A900	BTMZ	LEGO® BATMAN™ 3: Jenseits von Gotham - Update
